date;open;high;low;close;adj close;volume
18/8/2022;141320007;142770004;140380005;142300003;142300003;37458700
17/8/2022;142690002;143380005;140779999;142100006;142100006;48149800
16/8/2022;143910004;146570007;142000000;144779999;144779999;59102900
15/8/2022;142800003;143759995;141490005;143179993;143179993;39014600
12/8/2022;142050003;143570007;140119995;143550003;143550003;47643500
11/8/2022;143860001;144490005;139759995;140639999;140639999;44867300
10/8/2022;142899994;144600006;141009995;142690002;142690002;54773800
9/8/2022;138050003;138949997;136210007;137830002;137830002;40434700
8/8/2022;142050003;144229996;138289993;139410004;139410004;52229000
5/8/2022;140100006;142860001;139600006;140800003;140800003;50686900
4/8/2022;140580002;143559998;139550003;142570007;142570007;70585000
3/8/2022;136210007;140490005;136050003;139520004;139520004;71827800
2/8/2022;134720001;137440002;134089996;134160004;134160004;61922400
1/8/2022;134960007;138830002;133509995;135389999;135389999;76846900
29/7/2022;134899994;137649994;132410004;134949997;134949997;148892900
28/7/2022;121570000;122839996;118080002;122279999;122279999;82245500
27/7/2022;117309998;121900002;117160004;120970001;120970001;61582000
26/7/2022;115790001;118150002;114529999;114809998;114809998;67075100
25/7/2022;122699997;123639999;120029999;121139999;121139999;50221300
22/7/2022;125010002;125500000;121349998;122419998;122419998;51463800
21/7/2022;123199997;124849998;121260002;124629997;124629997;60239900
20/7/2022;118620003;123480003;118320000;122769997;122769997;71268300
19/7/2022;115699997;118949997;114029999;118209999;118209999;60990000
18/7/2022;115000000;117239998;113150002;113760002;113760002;59115400
15/7/2022;112500000;115589996;111589996;113550003;113550003;84317800
14/7/2022;110239998;111180000;107580002;110629997;110629997;51163100
13/7/2022;107029999;111779999;106010002;110400002;110400002;61353800
12/7/2022;112160004;113230003;108339996;109220001;109220001;54280300
11/7/2022;114080002;114300003;110870003;111750000;111750000;53487600
8/7/2022;114599998;116580002;113690002;115540001;115540001;45719700
7/7/2022;113849998;116989998;113489998;116330002;116330002;57872300
6/7/2022;113209999;115480003;112010002;114330002;114330002;66958900
5/7/2022;107599998;114080002;106320000;113500000;113500000;76583700
1/7/2022;106290001;109750000;105849998;109559998;109559998;73021200
30/6/2022;108110001;108180000;102519997;106209999;106209999;97679400
29/6/2022;107379997;110989998;106910004;108919998;108919998;66375300
28/6/2022;113500000;114849998;107040001;107400002;107400002;74942900
27/6/2022;117089996;117980003;112699997;113220001;113220001;62133200
24/6/2022;112379997;116709999;111430000;116459999;116459999;69867600
23/6/2022;110389999;113000000;107930000;112440002;112440002;64345300
22/6/2022;107430000;112129997;107019997;108949997;108949997;60040100
21/6/2022;108199997;111629997;103559998;108680000;108680000;70901200
17/6/2022;102800003;106980003;102510002;106220001;106220001;99772100
16/6/2022;104470001;104580002;102010002;103660004;103660004;82186300
15/6/2022;103860001;109059998;103529999;107669998;107669998;85011100
14/6/2022;104190002;104879997;101430000;102309998;102309998;69728800
13/6/2022;104190002;106540001;101860001;103669998;103669998;99277700
10/6/2022;113419998;114500000;109050003;109650002;109650002;87266000
9/6/2022;119989998;121300003;116099998;116150002;116150002;67029800
8/6/2022;122610001;123750000;120750000;121180000;121180000;64926600
7/6/2022;122010002;124099998;120629997;123000000;123000000;85156700
6/6/2022;125250000;128990005;123809998;124790001;124790001;135269000
3/6/2022;124199997;124400002;121046501;122349998;122349998;97604000
2/6/2022;121683998;125610001;120044998;125511002;125511002;100560000
1/6/2022;122255997;125179001;120622498;121683998;121683998;127528000
31/5/2022;116279999;121994499;115675003;120209503;120209503;144634000
27/5/2022;113550003;115186996;112627998;115146500;115146500;93660000
26/5/2022;107970001;112665497;107453499;111077499;111077499;93002000
25/5/2022;103655502;108175003;103650002;106775002;106775002;93120000
24/5/2022;104025002;105400002;101260002;104099998;104099998;102934000
